time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
510000,0.417508417508418,1.33326566624377,-0.498248831226933,0.00673400673400673,0.0886562669033692,0,0.00168350168350168,0.0221640667258423,0
515000,0.445901639344262,1.40793993778242,-0.516136659093891,0.039344262295082,0.234076440491686,0,0.00983606557377049,0.0585191101229216,0
520000,0.33125,1.34353736301959,-0.681037363019589,0.034375,0.216850789608111,0,0.00859375,0.0542126974020277,0
525000,0.402027027027027,1.33205123626867,-0.527997182214613,0.0101351351351351,0.110466697240775,0,0.00253378378378378,0.0276166743101939,0
530000,0.442567567567568,1.32367559235871,-0.438540457223577,0.0472972972972973,0.259930807402806,0,0.0118243243243243,0.0649827018507014,0
535000,0.51985559566787,1.33887939206932,-0.299168200733575,0.036101083032491,0.222980385800804,0,0.00902527075812274,0.0557450964502009,0
540000,0.375,1.34043034400671,-0.590430344006713,0.0381944444444445,0.230193474558784,0,0.00954861111111111,0.057548368639696,0
545000,0.292763157894737,1.18819357958607,-0.6026672637966,0.0394736842105263,0.234513798468799,0,0.00986842105263158,0.0586284496171998,0
550000,0.354166666666667,1.27219173976827,-0.563858406434938,0.0416666666666667,0.241840806882504,0,0.0104166666666667,0.0604602017206261,0
555000,0.470383275261324,1.32215694476219,-0.381390394239541,0.0209059233449477,0.164225270170774,0,0.00522648083623693,0.0410563175426935,0
560000,0.376205787781351,1.31116123407119,-0.558749658508492,0.00964630225080386,0.107544555773194,0,0.00241157556270097,0.0268861389432985,0
565000,0.314569536423841,1.26363078626284,-0.634491713415158,0.0132450331125828,0.127757140838271,0,0.0033112582781457,0.0319392852095678,0
570000,0.376712328767123,1.29719637115316,-0.543771713618915,0.0136986301369863,0.130134909474156,0,0.00342465753424658,0.0325337273685389,0
575000,0.444827586206897,1.26755249025957,-0.377897317845776,0.00689655172413793,0.0897982297732725,0,0.00172413793103448,0.0224495574433181,0
580000,0.567474048442907,1.42328396384664,-0.288335866960826,0.00346020761245675,0.0622837370242214,0,0.000865051903114187,0.0155709342560554,0
585000,0.435810810810811,1.32029170885292,-0.448670087231297,0,0,0,0,0,0
590000,0.409722222222222,1.27655750466705,-0.45711306022261,0.0173611111111111,0.148201259405623,0,0.00434027777777778,0.0370503148514057,0
595000,0.404605263157895,1.31880124822571,-0.509590721909925,0.0263157894736842,0.186652416422391,0,0.00657894736842105,0.0466631041055978,0
600000,0.36241610738255,1.26295664914017,-0.538124434375069,0.00335570469798658,0.0612841493343358,0,0.000838926174496644,0.015321037333584,0
605000,0.523972602739726,1.429913650147,-0.381968444667552,0.0171232876712329,0.147076802511712,0,0.00428082191780822,0.036769200627928,0
610000,0.520689655172414,1.43647937066763,-0.395100060322798,0.00689655172413793,0.0897982297732725,0,0.00172413793103448,0.0224495574433181,0
615000,0.48421052631579,1.3341876332329,-0.365766580601316,0.0140350877192982,0.131877481408634,0,0.00350877192982456,0.0329693703521585,0
620000,0.436241610738255,1.24712837354864,-0.374645152072127,0.0100671140939597,0.110063724435806,0,0.00251677852348993,0.0275159311089514,0
625000,0.35973597359736,1.24708036136885,-0.527608414174132,0.0132013201320132,0.127526213266905,0,0.0033003300330033,0.0318815533167263,0
630000,0.419243986254296,1.30758267919122,-0.469094706682629,0.0206185567010309,0.162966947433475,0,0.00515463917525773,0.0407417368583688,0
635000,0.444444444444444,1.37684423496854,-0.487955346079647,0.0235690235690236,0.175527152970754,0,0.00589225589225589,0.0438817882426885,0
640000,0.398671096345515,1.31547618002568,-0.51813398733465,0.0166112956810631,0.144633995772293,0,0.00415282392026578,0.0361584989430732,0
645000,0.410958904109589,1.27784679189507,-0.455928983675892,0.0136986301369863,0.130134909474156,0,0.00342465753424658,0.0325337273685389,0
650000,0.29020979020979,1.08694124337655,-0.506521662956971,0,0,0,0,0,0
655000,0.321799307958478,1.19396269487158,-0.550364078954629,0.00346020761245675,0.0622837370242214,0,0.000865051903114187,0.0155709342560554,0
